1. Subject ID,2.1. Missing planned work due to smartphone use,"2.2. Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use",2.3. Experiencing lightheadedness or blurred vision due to excessive smartphone use,2.4. Feeling pain in the wrists or at the back of the neck while using a smartphone,2.5. Feeling tired and lacking adequate sleep due to excessive smartphone use,2.6. Feeling calm or cozy while using a smartphone,2.7. Feeling pleasant or excited while using a smartphone,2.8. Feeling confident while using a smartphone,2.9. Being able to get rid of stress with a smartphone,2.10. There is nothing more fun to do than using my smartphone.,2.11. My life would be empty without my smartphone.,2.12. Feeling most liberal while using a smartphone,2.13. Using a smartphone is the most fun thing to do.,2.14. Won’t be able to stand not having a smartphone,2.15. Feeling impatient and fretful when I am not holding my smartphone,2.16. Having my smartphone in my mind even when I am not using it,2.17. I will never give up using my smartphone even when my daily life is already greatly affected by it.,2.18. Getting irritated when bothered while using my smartphone,2.19. Bringing my smartphone to the toilet even when I am in a hurry to get there,2.20. Feeling great meeting more people via smartphone use,2.21. Feeling that my relationships with my smartphone buddies are more intimate than my relationships with my real-life friends,2.22. Not being able to use my smartphone would be as painful as losing a friend.,2.23. Feeling that my smartphone buddies understand me better than my real-life friends,2.24. Constantly checking my smartphone so as not to miss conversations between other people on Twitter or Facebook,2.25. Checking SNS (Social Networking Service) sites like Twitter or Facebook right after waking up,2.26. Preferring talking with my smartphone buddies to hanging out with my real-life friends or with the other members of my family,2.27. Preferring searching from my smartphone to asking other people,2.28. My fully charged battery does not last for one whole day.,2.29. Using my smartphone longer than I had intended,2.30. Feeling the urge to use my smartphone again right after I stopped using it,"2.31. Having tried time and again to shorten my smartphone use time, but failing all the time",2.32. Always thinking that I should shorten my smartphone use time,2.33. The people around me tell me that I use my smartphone too much.,Date
26519,disagree,agree,agree,agree,agree,agree,weakly disagree,weakly disagree,weakly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,weakly disagree,disagree,strongly disagree,weakly disagree,agree,agree,disagree,disagree,disagree,agree,agree,disagree,agree,strongly agree,strongly agree,strongly agree,agree,agree,weakly disagree,2016-08-02 13:31:53 UTC
63882,disagree,weakly disagree,weakly disagree,disagree,disagree,weakly agree,agree,strongly agree,agree,weakly agree,weakly disagree,weakly disagree,disagree,weakly disagree,agree,weakly agree,weakly agree,agree,agree,weakly agree,weakly agree,strongly disagree,weakly disagree,agree,weakly agree,weakly disagree,agree,weakly disagree,agree,weakly disagree,weakly disagree,disagree,weakly disagree,2016-08-08 13:39:11 UTC
49681,strongly disagree,weakly agree,strongly disagree,strongly disagree,strongly disagree,weakly agree,weakly agree,weakly agree,weakly agree,strongly disagree,disagree,weakly disagree,strongly disagree,agree,disagree,disagree,disagree,weakly agree,disagree,weakly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,weakly agree,strongly disagree,disagree,agree,weakly disagree,weakly agree,strongly disagree,strongly disagree,weakly disagree,2016-08-08 13:58:16 UTC
32052,strongly disagree,disagree,strongly disagree,agree,agree,weakly agree,weakly agree,weakly disagree,disagree,strongly disagree,weakly disagree,disagree,strongly disagree,weakly agree,strongly disagree,strongly disagree,disagree,weakly disagree,strongly disagree,strongly disagree,strongly disagree,weakly disagree,strongly disagree,weakly disagree,agree,strongly disagree,agree,strongly agree,agree,weakly agree,disagree,disagree,strongly disagree,2016-08-08 14:03:20 UTC
22515,disagree,disagree,disagree,disagree,disagree,weakly disagree,weakly disagree,disagree,weakly disagree,strongly disagree,disagree,weakly disagree,disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,disagree,weakly disagree,disagree,strongly disagree,disagree,disagree,weakly disagree,disagree,disagree,weakly disagree,weakly disagree,weakly disagree,disagree,weakly disagree,disagree,2016-08-08 14:03:33 UTC
15228,strongly disagree,weakly agree,strongly disagree,strongly disagree,strongly disagree,weakly agree,weakly agree,weakly agree,agree,disagree,weakly agree,disagree,disagree,weakly disagree,weakly agree,strongly disagree,weakly agree,disagree,strongly disagree,weakly agree,disagree,strongly disagree,weakly disagree,weakly agree,agree,disagree,strongly agree,agree,weakly agree,weakly agree,weakly agree,disagree,strongly disagree,2016-08-08 14:03:50 UTC
94511,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,weakly agree,weakly agree,weakly agree,disagree,strongly disagree,disagree,weakly disagree,strongly disagree,agree,disagree,strongly disagree,weakly agree,disagree,weakly agree,disagree,strongly disagree,weakly agree,disagree,disagree,weakly agree,strongly disagree,agree,strongly disagree,disagree,disagree,disagree,weakly agree,disagree,2016-08-08 14:05:07 UTC
99759,strongly disagree,weakly disagree,strongly disagree,weakly agree,weakly disagree,weakly agree,weakly disagree,agree,disagree,disagree,strongly disagree,disagree,disagree,weakly agree,strongly disagree,strongly disagree,disagree,disagree,disagree,weakly agree,weakly agree,strongly disagree,weakly agree,disagree,disagree,weakly agree,disagree,disagree,weakly disagree,disagree,disagree,disagree,strongly disagree,2016-08-08 14:06:32 UTC
46818,disagree,weakly disagree,strongly disagree,strongly disagree,strongly disagree,weakly agree,weakly agree,weakly agree,weakly disagree,strongly disagree,disagree,weakly disagree,strongly disagree,weakly agree,disagree,weakly disagree,disagree,disagree,weakly disagree,weakly agree,disagree,strongly disagree,strongly disagree,agree,agree,disagree,weakly agree,agree,weakly agree,weakly agree,weakly disagree,weakly disagree,disagree,2016-08-08 14:09:30 UTC
96525,weakly disagree,weakly agree,disagree,weakly agree,weakly agree,weakly agree,weakly disagree,weakly agree,weakly disagree,disagree,weakly disagree,weakly disagree,strongly disagree,weakly disagree,weakly disagree,strongly disagree,weakly disagree,strongly disagree,strongly disagree,weakly disagree,weakly disagree,strongly disagree,disagree,weakly disagree,agree,strongly disagree,agree,strongly disagree,weakly agree,weakly disagree,weakly disagree,weakly disagree,strongly disagree,2016-08-08 14:10:30 UTC
